"","OCC1","OCC2","INC1","INC2","FCOMFORT","REGION","ZIP","AGE1","AGE2","EDUC1","EDUC2","RELAT","HAPPY","GENDER1","GENDER2","Date","L","D","R","MSTAT"
"308","homemaker                             ","asst. manager                  ",0,15000,"Struggling","S East",30035,23,24,"Some college","Some college","Married","Happy","Female","Male",13385433600,27,36,43,"Married"
"309","teacher                               ","chemical engineer              ",39000,54000,"Comfortable","Mid Atlantic",20850,22,23,"Some Grad Sch","Some Grad Sch","Married","Very happy","Female","Male",13295145600,28,28,24,"Married"
"310","banker                                ","engineer                       ",41000,75000,"Comfortable","S East",32803,24,31,"Coll Grad","MA/MS","Married","Very happy","Female","Male",13387593600,38,42,33,"Married"
"311","client financial analyst              ","client financial analyst       ",24000,34000,"Comfortable","Pac Coast/Islands",91364,24,23,"Some college","Coll Grad","Dating one person","Mixed","Female","Male",13306809600,40,34,34,"Single"
"312","property management                   ","utilities engineer             ",34000,98000,"Struggling","Pac Coast/Islands",92705,37,45,"Some college","No HS","Dating one person","Happy","Female","Male",13362364800,38,47,32,"Single"
"313","Administrative Coordinator            ","Network Engineer               ",50000,60000,"Struggling","N. East",19702,38,42,"Some college","Some college","Married","Unhappy","Female","Male",13378003200,29,24,23,"Married"
"314","Attorney                              ","Musician                       ",45000,28000,"Comfortable","Great Lakes",43210,32,37,"Doctorate","Coll Grad","Married","Very happy","Female","Male",13373942400,26,26,20,"Married"
"315","Insurance manager                     ","Sales and Marketing            ",26000,35000,"Struggling","Great Lakes",46992,28,33,"HS Grad","HS Grad","Married","Happy","Female","Male",13357872000,50,44,22,"Married"
"316","Secretary/student                     ","self-employed                  ",20000,80000,"Struggling","N. East",11218,22,43,"Coll Grad","HS Grad","Dating one person","Mixed","Female","Male",13320806400,39,38,34,"Single"
"317","Photographer                          ","Surfer                         ",10000,25000,"Struggling","N Central",55127,23,25,"Some college","HS Grad","Long-term committed","Very happy","Female","Male",13373251200,25,44,22,"Single"
"318","Secretary                             ","Student                        ",37000,22000,"Struggling","S East",36606,33,26,"Some college","Some college","Married","Very happy","Female","Male",13364265600,28,31,27,"Married"
"319","Exercise Physiologist                 ","IT                             ",40000,50000,"Comfortable","Pac Coast/Islands",93013,29,38,"MA/MS","MA/MS","Married","Happy","Female","Male",13359427200,17,22,20,"Married"
"320","Writer                                ","Marine                         ",35000,35000,"Struggling","New England",7030,29,23,"MA/MS","HS Grad","Dating one person","Very happy","Female","Male",13330483200,26,20,27,"Single"
"321","IT                                    ","Mechanic                       ",75000,40000,"Comfortable","Mid West",85251,53,48,"Some Grad Sch","Some college","Married","Very happy","Female","Male",13367808000,22,20,37,"Married"
"322","retail                                ","retail                         ",20000,30000,"Comfortable","Mid Atlantic",21703,25,28,"Some college","Some college","Married","Very happy","Female","Male",13365475200,31,32,42,"Married"
"323","personal assistant                    ","unemployed                     ",13000,0,"Struggling","Mid Central",61032,23,25,"Some college","HS Grad","Married","Unhappy","Female","Male",13384742400,24,16,25,"Married"
"324","surgical technologist                 ","associate                      ",5000,60000,"Comfortable","Great Lakes",47904,30,34,"Coll Grad","Some college","Married","Happy","Female","Male",13382236800,21,28,27,"Married"
"325","entertainer                           ","manager                        ",80000,70000,"Comfortable","S Central",76082,21,38,"HS Grad","HS Grad","Long-term committed","Mixed","Female","Male",13364956800,24,32,42,"Single"
"326","Admin Asst.                           ","Asst. Manager                  ",23000,35000,"Comfortable","S Central",75028,24,24,"Some college","Some college","Long-term committed","Very happy","Female","Male",13359513600,37,47,35,"Single"
"327","Administrativie assistant             ","Sanitional worker              ",23000,22000,"Struggling","S East",31525,21,22,"Some college","No HS","Dating one person","Mixed","Female","Male",13378262400,37,32,25,"Single"
"328","teacher                               ","teacher                        ",45000,55000,"Comfortable","N Central",55068,33,33,"Some Grad Sch","MA/MS","Married","Happy","Female","Male",13328236800,37,35,35,"Married"
"329","Student/Mother                        ","Marine                         ",0,35000,"Comfortable","Pac Coast/Islands",96377,26,25,"Some college","Some college","Married","Mixed","Female","Male",13368758400,26,24,25,"Married"
"330","lawyer`                               ","lawyer                         ",65000,1e+05,"Struggling","N. East",11747,40,40,"Doctorate","Doctorate","Married","Happy","Female","Male",13376620800,46,40,40,"Married"
"331","Instructor                            ","Manager                        ",15000,93000,"Comfortable","S East",35229,43,43,"Doctorate","MA/MS","Married","Happy","Female","Male",13346726400,27,36,28,"Married"
"332","realtor                               ","self employed                  ",30000,50000,"Struggling","New England",1568,43,41,"Some Grad Sch","No HS","Married","Mixed","Female","Male",13309833600,32,31,40,"Married"
"333","aministrative assistant               ","security repair                ",27000,35000,"Struggling","S East",34653,30,31,"Coll Grad","Some college","Long-term committed","Happy","Female","Male",13370227200,27,24,30,"Single"
"334","Military                              ","Military                       ",15000,16000,"Struggling","Pac Coast/Islands",93944,23,22,"Coll Grad","HS Grad","Long-term committed","Happy","Female","Male",13363228800,48,41,42,"Single"
"335","student                               ","driver                         ",5000,20000,"Struggling","N. East",17572,30,36,"Coll Grad","HS Grad","Married","Happy","Female","Male",13376275200,22,38,24,"Married"
"336","sales                                 ","sales                          ",30000,48000,"Comfortable","S Central",72933,40,47,"HS Grad","Some college","Dating one person","Happy","Female","Male",13364092800,25,31,31,"Single"
"337","advertiser                            ","lawyer                         ",1e+05,1e+05,"Comfortable","S East",33156,22,23,"Coll Grad","Some Grad Sch","Dating one person","Happy","Female","Male",13350355200,38,30,44,"Single"
"338","Personal banker                       ","Laborer                        ",40000,52000,"Struggling","Mid Central",60629,24,25,"Some college","HS Grad","Long-term committed","Mixed","Female","Male",13363142400,31,34,34,"Single"
"339","Waitress/Student                      ","Lab Tech/Student               ",15000,14000,"Comfortable","Great Lakes",46356,21,23,"Some college","Some Grad Sch","Long-term committed","Very happy","Female","Male",13364179200,24,34,38,"Single"
"340","student                               ","student                        ",0,0,"Comfortable","Pac Coast/Islands",90064,21,22,"Some college","Some college","Dating one person","Happy","Female","Male",13353811200,32,25,27,"Single"
"341","Owner                                 ","Sales Rep                      ",60000,60000,"Comfortable","S Central",78704,45,50,"MA/MS","Some college","Dating one person","Mixed","Female","Male",13387334400,27,21,37,"Single"
"342","Financial Advisor                     ","Plumber                        ",70000,40000,"Comfortable","S East",35173,43,42,"MA/MS","HS Grad","Married","Very happy","Female","Male",13324694400,44,28,53,"Married"
"343","technician                            ","doctor                         ",12000,140000,"Struggling","S East",33323,27,58,"Some college","Doctorate","Long-term committed","Mixed","Female","Male",13384396800,23,24,34,"Single"
"344","student                               ","maintenance mechanic           ",0,1e+05,"Comfortable","S Central",76645,44,46,"Some college","Some college","Married","Very unhappy","Female","Male",13382150400,24,35,32,"Married"
"345","business development                  ","supply chian management        ",150000,180000,"Comfortable","Mid Atlantic",25446,50,49,"Some college","Coll Grad","Married","Very unhappy","Female","Male",13358563200,39,27,43,"Married"
"346","Teacher                               ","Sales Representative           ",28000,28000,"Comfortable","S East",37620,27,29,"Some Grad Sch","Coll Grad","Long-term committed","Very happy","Female","Male",13380422400,27,28,29,"Single"
"347","executive                             ","driver                         ",40000,60000,"Comfortable","S East",38668,37,38,"Coll Grad","Some college","Long-term committed","Very happy","Female","Male",13336444800,21,20,40,"Single"
"348","manager                               ","computer information           ",15000,50000,"Struggling","New England",7111,24,33,"Some college","Coll Grad","Dating one person","Mixed","Female","Male",13370659200,24,40,34,"Single"
"349","CASE MANAGER                          ","ASSITANT SUPERVISOR            ",33000,50000,"Struggling","S East",38024,38,43,"Some college","HS Grad","Married","Mixed","Female","Male",13345084800,47,29,45,"Married"
"350","cashier                               ","stocking                       ",12000,12000,"Comfortable","New England",6519,23,24,"Some college","Some college","Married","Very happy","Female","Male",13379299200,22,27,21,"Married"
"351","homemeker                             ","press operator                 ",23000,40000,"Comfortable","Mid West",85051,43,59,"HS Grad","HS Grad","Married","Very happy","Female","Male",13324089600,42,48,16,"Married"
"352","librarian                             ","real estate broker             ",25000,2e+05,"Comfortable","N. East",12516,38,39,"MA/MS","MA/MS","Married","Happy","Female","Male",13365388800,41,39,40,"Married"
"353","bartender                             ","dj                             ",10000,15000,"Struggling","Pac Coast/Islands",92886,22,27,"Coll Grad","HS Grad","Long-term committed","Very happy","Female","Male",13299033600,25,33,27,"Single"
"354","Certified Nurses Assistant            ","Paint maker                    ",17000,30000,"Comfortable","Mid Central",61032,24,34,"Some college","No HS","Long-term committed","Very happy","Female","Male",13384742400,26,36,27,"Single"
"355","administrative assistant              ","Scientist                      ",42000,72000,"Struggling","Pac Coast/Islands",95128,33,32,"Some college","Doctorate","Long-term committed","Mixed","Female","Male",13351564800,23,36,37,"Single"
"356","LPN                                   ","Photographer                   ",30000,20000,"Struggling","N Central",51357,23,22,"Coll Grad","Coll Grad","Long-term committed","Happy","Female","Male",13311907200,28,36,22,"Single"
"357","social worker                         ","engineer                       ",32000,50000,"Struggling","N Central",59752,45,44,"MA/MS","Some college","Long-term committed","Mixed","Female","Male",13387334400,26,38,28,"Single"
"358","Teacher                               ","Furniture Salesman             ",36000,36000,"Struggling","S East",38501,22,26,"Some Grad Sch","Coll Grad","Long-term committed","Very happy","Female","Male",13377484800,34,37,23,"Single"
"359","Director                              ","RN                             ",80000,56000,"Comfortable","S East",33598,32,34,"Some college","Coll Grad","Married","Happy","Female","Male",13363574400,39,28,39,"Married"
"360","asst mdse plnr                        ","IT                             ",31500,67000,"Struggling","S Central",75074,26,37,"Some college","Coll Grad","Dating one person","Unhappy","Female","Male",13359168000,34,36,53,"Single"
"361","Student                               ","Student                        ",10000,10000,"Struggling","N Central",53226,23,23,"Coll Grad","Coll Grad","Dating several people","Mixed","Female","Male",13379299200,48,44,53,"Single"
"362","Office Manager                        ","Plumber                        ",27000,47000,"Comfortable","S Central",78229,35,36,"HS Grad","Some college","Married","Happy","Female","Male",13295145600,23,30,34,"Married"
"363","Student                               ","technology                     ",10000,32000,"Struggling","S East",30144,21,26,"Some college","Coll Grad","Long-term committed","Happy","Female","Male",13338777600,29,39,35,"Single"
"364","teacher                               ","probation officer              ",40000,53000,"Struggling","New England",7063,28,28,"Some Grad Sch","MA/MS","Married","Mixed","Female","Male",13312252800,32,38,30,"Married"
"365","mom/engineer                          ","engineer                       ",0,83000,"Comfortable","Pac Coast/Islands",97007,33,38,"Coll Grad","Coll Grad","Married","Happy","Female","Male",13343702400,33,25,45,"Married"
"366","waitstaff                             ","carpenter                      ",23000,45000,"Struggling","N. East",18104,23,31,"HS Grad","HS Grad","Dating one person","Very happy","Female","Male",13364179200,23,30,33,"Single"
"367","graduate student                      ","driver                         ",16000,24000,"Struggling","Pac Coast/Islands",98103,39,32,"MA/MS","Coll Grad","Dating one person","Very happy","Female","Male",13342320000,27,39,29,"Single"
"368","Interior Designer                     ","builder                        ",50000,150000,"Comfortable","S East",34240,35,33,"Coll Grad","Some college","Married","Happy","Female","Male",13298515200,51,51,42,"Married"
"369","photo lab tech                        ","sevice writer                  ",20000,42000,"Comfortable","Great Lakes",46342,32,35,"HS Grad","No HS","Married","Happy","Female","Male",13361587200,28,34,36,"Married"
"370","Student                               ","Student                        ",20000,20000,"Struggling","S East",30078,21,21,"Some college","Some college","Dating several people","Mixed","Female","Male",13350268800,27,28,26,"Single"
"371","office assistant                      ","sales                          ",26000,24000,"Comfortable","S Central",75417,23,24,"Some college","Some college","Married","Very happy","Female","Male",13379385600,37,34,30,"Married"
"372","Marketing                             ","Finance                        ",30000,34000,"Comfortable","S Central",77042,27,25,"MA/MS","Coll Grad","Long-term committed","Happy","Female","Male",13347417600,26,22,38,"Single"
"373","Financial Services                    ","Construction                   ",35000,25000,"Struggling","N Central",59101,27,26,"Coll Grad","HS Grad","Long-term committed","Very happy","Female","Male",13385347200,32,16,41,"Single"
"374","Professional Speaker                  ","Facilities Director            ",30000,37000,"Struggling","S East",33704,40,54,"Coll Grad","HS Grad","Married","Very happy","Female","Male",13371782400,38,37,47,"Married"
"375","teacher                               ","consultant                     ",50000,50000,"Comfortable","Mid West",84098,48,50,"MA/MS","MA/MS","Married","Very happy","Female","Male",13386643200,24,21,48,"Married"
"376","homemaker                             ","manager                        ",4500,51000,"Struggling","Mid Atlantic",28150,34,38,"HS Grad","HS Grad","Long-term committed","Very happy","Female","Male",13295750400,35,34,36,"Single"
"377","minister                              ","engineer                       ",26000,1e+05,"Struggling","New England",4401,50,52,"MA/MS","Doctorate","Married","Very unhappy","Female","Male",13378780800,39,45,34,"Married"
"378","Accountant                            ","Service Manager                ",45000,84000,"Struggling","Pac Coast/Islands",98387,37,37,"Coll Grad","Some college","Married","Mixed","Female","Male",13324694400,21,29,31,"Married"
"379","midwife                               ","mortician                      ",0,38000,"Struggling","Mid Atlantic",23464,34,32,"Coll Grad","Coll Grad","Married","Happy","Female","Male",13317696000,42,43,37,"Married"
"380","Secretary                             ","Army                           ",50000,84000,"Comfortable","S East",34104,50,41,"Some college","HS Grad","Dating one person","Very happy","Female","Male",13387161600,16,25,34,"Single"
"381","nurse                                 ","massage therapist              ",30000,80000,"Struggling","Mid West",88310,39,38,"Coll Grad","Some college","Dating one person","Happy","Female","Male",13359686400,35,49,44,"Single"
"382","Teacher                               ","Sales                          ",45000,65000,"Comfortable","S East",36526,27,32,"Some Grad Sch","Some Grad Sch","Married","Happy","Female","Male",13384656000,31,31,30,"Married"
"383","Account manager                       ","Delivery Driver                ",25000,27000,"Comfortable","S East",35243,21,28,"HS Grad","Some college","Long-term committed","Very happy","Female","Male",13364697600,31,34,48,"Single"
"384","nurse                                 ","electrician                    ",45000,25000,"Comfortable","Mid Atlantic",28351,27,29,"Coll Grad","No HS","Married","Unhappy","Female","Male",13382064000,31,24,22,"Married"
"385","government                            ","government                     ",68000,72000,"Comfortable","Mid Atlantic",22309,29,35,"Coll Grad","Some college","Long-term committed","Happy","Female","Male",13358131200,16,22,35,"Single"
"386","social worker                         ","retired supervisor             ",30000,80000,"Struggling","S Central",71211,47,65,"Some Grad Sch","HS Grad","Dating one person","Happy","Female","Male",13310611200,35,32,38,"Single"
"387","Medical Assistant                     ","Radiographer                   ",25000,50000,"Struggling","Mid Atlantic",21901,27,27,"Some college","HS Grad","Married","Mixed","Female","Male",13325472000,29,29,38,"Married"
"388","Workforce Dev. Manager                ","army reserve                   ",36000,20000,"Struggling","N Central",55060,25,31,"Coll Grad","HS Grad","Married","Unhappy","Female","Male",13347936000,32,25,44,"Married"
"389","Student/Assistant Teacher             ","Student/Sales Consultant       ",5000,29000,"Comfortable","S East",31216,21,26,"Some college","Some college","Long-term committed","Very happy","Female","Male",13350355200,38,30,32,"Single"
"390","unemployed                            ","material handling              ",6792,19200,"Struggling","Mid Central",60002,25,35,"Some college","No HS","Married","Mixed","Female","Male",13306118400,19,42,30,"Married"
"391","healthcare                            ","mechanic                       ",35000,35000,"Comfortable","Mid Atlantic",28213,25,28,"Coll Grad","Coll Grad","Long-term committed","Very happy","Female","Male",13338691200,21,26,37,"Single"
"392","bartender                             ","market research analysts       ",60000,60000,"Comfortable","N. East",10017,25,26,"MA/MS","Coll Grad","Long-term committed","Very unhappy","Female","Male",13355798400,49,35,31,"Single"
"393","Receptionist                          ","Mechanic                       ",20000,60000,"Struggling","Mid Atlantic",28613,47,53,"Some college","HS Grad","Married","Very unhappy","Female","Male",13382409600,23,22,32,"Married"
"394","lawyer                                ","designer                       ",120000,45000,"Struggling","Pac Coast/Islands",90292,27,32,"Doctorate","Some college","Married","Happy","Female","Male",13361673600,39,18,35,"Married"
"395","Teacher                               ","Husband                        ",30000,20000,"Struggling","S Central",71269,47,58,"Coll Grad","HS Grad","Married","Happy","Female","Male",13310611200,31,34,24,"Married"
"396","waitress                              ","chemical technician            ",30000,30000,"Struggling","Pac Coast/Islands",92081,24,24,"No HS","HS Grad","Married","Mixed","Female","Male",13357612800,32,30,47,"Married"
"397","research analyst                      ","sales                          ",40000,44000,"Comfortable","Mid Central",66223,22,24,"Coll Grad","Coll Grad","Long-term committed","Very happy","Female","Male",13387593600,35,27,32,"Single"
"398","student                               ","student                        ",0,0,"Comfortable","S East",30033,21,22,"Some college","Some college","Dating one person","Happy","Female","Male",13350268800,20,32,44,"Single"
"399","Instructor                            ","Forman                         ",17000,34000,"Comfortable","N. East",16506,24,30,"Coll Grad","No HS","Long-term committed","Mixed","Female","Male",13367635200,30,22,31,"Single"
"400","marketing                             ","engineering                    ",50000,80000,"Comfortable","Great Lakes",48236,37,35,"Coll Grad","Coll Grad","Long-term committed","Very happy","Female","Male",13380076800,18,30,39,"Single"
