"","OCC1","OCC2","INC1","INC2","FCOMFORT","REGION","ZIP","AGE1","AGE2","EDUC1","EDUC2","RELAT","HAPPY","GENDER1","GENDER2","Date","L","D","R","MSTAT"
"82","coporate lawyer                       ","CEO                            ",1e+05,1e+05,"Comfortable","N Central",50125,42,41,"Doctorate","Doctorate","Married","Very happy","Male","Female",13379212800,42,35,32,"Married"
"83","Grahpic Artist                        ","Sale                           ",29000,60000,"Struggling","S Central",73071,35,30,"Coll Grad","Coll Grad","Married","Mixed","Male","Female",13377916800,18,23,26,"Married"
"84","investor                              ","homemaker                      ",30000,0,"Struggling","S East",34434,49,45,"Some college","Coll Grad","Married","Happy","Male","Female",13378521600,42,24,58,"Married"
"85","Writer                                ","Auditor                        ",35000,85000,"Comfortable","New England",1504,35,38,"Coll Grad","Some Grad Sch","Married","Very happy","Male","Female",13386124800,37,31,49,"Married"
"86","Engineer                              ","House wife                     ",73000,0,"Comfortable","S East",30040,38,35,"Coll Grad","Coll Grad","Married","Very happy","Male","Female",13300588800,22,27,42,"Married"
"87","warehouse                             ","none                           ",37000,7200,"Struggling","Mid West",85220,39,55,"HS Grad","No HS","Married","Happy","Male","Female",13383014400,23,30,30,"Married"
"88","mortgage broker                       ","banker                         ",45000,24000,"Struggling","Mid Central",66202,23,22,"HS Grad","Some college","Dating one person","Happy","Male","Female",13360291200,53,45,48,"Single"
"89","Psychotherapist                       ","Patient finance manager        ",120000,70000,"Struggling","N. East",10706,52,48,"Doctorate","Coll Grad","Married","Mixed","Male","Female",13341801600,41,31,35,"Married"
"90","Computer specialist                   ","Beatician                      ",59000,25000,"Comfortable","N. East",11367,36,36,"Coll Grad","HS Grad","Married","Very happy","Male","Female",13307068800,27,31,32,"Married"
"91","engineer                              ","engineerr                      ",80000,60000,"Struggling","Mid Central",67219,29,23,"Some Grad Sch","Coll Grad","Long-term committed","Happy","Male","Female",13383446400,32,37,49,"Single"
"92","Sales                                 ","Grad Student                   ",44000,15000,"Comfortable","Mid West",80218,27,28,"Some Grad Sch","MA/MS","Long-term committed","Very happy","Male","Female",13388112000,39,29,58,"Single"
"93","IT                                    ","Admin                          ",2e+05,30000,"Struggling","New England",6830,31,33,"Some college","Coll Grad","Dating one person","Mixed","Male","Female",13336272000,33,23,47,"Single"
"94","Sales                                 ","Customer Service               ",75000,68000,"Comfortable","S Central",77373,32,35,"Some college","Some college","Dating one person","Mixed","Male","Female",13381891200,30,23,35,"Single"
"95","Service Rep                           ","Manager                        ",36000,43000,"Struggling","Mid Central",66216,42,32,"Some college","Some college","Married","Mixed","Male","Female",13379731200,24,33,38,"Married"
"96","Consultant                            ","Consultant                     ",1e+05,1e+05,"Comfortable","S East",30306,39,43,"Coll Grad","Coll Grad","Married","Happy","Male","Female",13369190400,46,25,40,"Married"
"97","Assistant Professor                   ","High School Teacher            ",67500,34000,"Comfortable","Mid Central",66547,36,28,"Doctorate","MA/MS","Married","Very happy","Male","Female",13377052800,26,24,33,"Married"
